"Substance","NUTS 2","NUTS 2 desc","Sector","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022"
"GWP_100_AR5_GHG","ITC1","Piemonte","Agriculture","4541.4478085971","4403.409251693","4372.2491636121","4324.6223695287","4277.7459615394","4182.6772280198","4287.0216798525","4132.2734784223","4106.3261626736","4093.7225539684","4036.342870156","3781.2835890661","3885.5084123107","3792.660938907","3772.4337383456","3650.2849437816","3662.7363780831","3695.9046230832","3820.4975686064","3666.0757115543","3737.0054414736","3589.2938026518","3672.9175692973","3584.7038860533","3531.2595918169","3314.8974637729","3854.5644506238","3795.2159669592","3823.9744032037","3808.9042665579","3881.9515011448","3909.3490080762","3885.5126937372"
"GWP_100_AR5_GHG","ITC1","Piemonte","Buildings","5765.7536197894","6143.4863080123","5835.6126045616","5856.6998096403","5234.5077161952","5733.5289912982","5875.8329707409","5600.8678877924","5855.7708012184","6137.1194392769","5851.7520356449","6135.8703311162","5897.8539141898","6290.5718923025","6385.9737015815","6784.5024019823","6400.9463869851","6025.4409070088","6329.0526475378","6415.3370460779","6660.2645727501","5949.4225467515","6027.4623645013","5991.318310244","5046.5238214046","5502.9890616454","5569.5336954094","5523.3218436905","5481.2793710363","5280.4959593818","5148.317469408","5539.2974454494","5166.5302720652"
"GWP_100_AR5_GHG","ITC1","Piemonte","Energy","5704.189026943","5561.2969105497","4147.9065812074","4380.9036143829","4285.410377705","4916.7391311149","4929.964720721","5017.3708516519","5505.9835878759","5905.0088510874","2203.2072086781","1951.0302468508","2383.7499428136","3561.7211238349","7457.2217051099","9312.1634687381","8779.4643874731","9561.9158177227","10124.442073895","9124.2169929475","9347.519034377","9529.2679426613","8271.9569681605","6803.4233234635","6212.0279029567","6784.1534460474","7500.8207537029","7878.4477639447","7598.7756293449","8022.3205343897","7420.287378248","7965.9097617551","8440.477363697"
"GWP_100_AR5_GHG","ITC1","Piemonte","Industry","7253.5266402895","7107.5375070619","7163.0384284091","6797.2553282357","7025.6589148738","7332.6278126878","7237.7190310395","7431.2350840419","7556.2186106352","7994.0702077444","8143.476646587","8178.2031739472","8429.7599044203","8815.8035892633","8350.3532062252","8319.5599972332","7936.9732939995","7890.1148587357","7612.43850528","6727.4383850908","6909.8912270374","7022.2016483901","6415.6870084184","6154.6829435495","5689.2757058343","5852.0902206824","5754.9282612278","5859.0370083642","5795.8372416391","5456.6478902452","5155.425262992","5476.3891134134","5254.8394655474"
"GWP_100_AR5_GHG","ITC1","Piemonte","Transport","8768.9405292899","8910.4399019658","9365.039643368","9525.1636121303","9482.4234901477","9670.4292635362","9690.7434147069","9827.134419671","10153.977401701","10206.198804193","10190.710378467","10376.543945843","10580.871266346","10624.334451515","10830.016848975","10722.093216707999","10835.819708073","10883.730206218","10227.762537476","9744.839357743","9508.9506137326","9524.5740264013","8950.594200207","8763.529501881","9183.3660634503","8953.7889665286","8827.9426123468","8462.1317959734","8744.3221873605","8812.1308023266","7130.8124391308","7933.7954235052","8304.1357948843"
"GWP_100_AR5_GHG","ITC1","Piemonte","Waste","2440.6151393217","2554.4698820899","2390.882588418","2351.3444179742","2437.3523856281","2503.3516532346","2581.5170943605","2665.3593103854","2610.3138570404","2642.0828692288","2761.1729195652","2704.7912461156","2631.027651051","2532.0756022619","2369.2914706821","2346.4979205646","2240.191521702","2169.378035851","2151.840731158","2123.4087663868","2128.4178505808","1881.8527262272","1833.3608226083","1801.5355935511","1729.3737311969","1495.4432270677","1431.4220582559","1584.9458733012","1481.6179837208","1418.4952319591","1304.3149746466","1248.7494566411","1189.7106567779"
"GWP_100_AR5_GHG","ITC2","Valle d’Aosta/Vallée d’Aoste","Agriculture","77.161815451738","74.058753917977","72.849646879771","70.360858291061","69.460834167773","67.746675861088","70.608601152844","67.856461670185","68.646903977574","68.748153098981","68.286162253256","61.800770586454","64.845763731482","63.275299034945","62.137837643156","60.364955839141","60.497557058905","60.60595187747","61.525915924256","60.891695405832","61.494650322379","59.506694885806","61.253012543224","60.486359154463","59.220051597348","59.716859224939","60.468843185606","60.371707474884","62.583974023551","62.214495392879","62.933987026976","63.615711657893","63.997060881145"
"GWP_100_AR5_GHG","ITC2","Valle d’Aosta/Vallée d’Aoste","Buildings","206.37822429824","217.95495839677","208.47058839308","214.31709407479","191.76335587326","211.05729570401","216.60927814284","207.71896406669","220.9431340934","231.30847123304","222.21141385297","231.30717211737","224.87361851531","247.77307447374","248.82239030235","267.64579368371","253.53215328719","247.51168235802","269.14705764573","267.69079116407","278.39498961442","239.68274294033","251.3384177065","250.87641345227","216.58120810638","229.45683173591","232.52843143448","232.3477008367","222.30143457504","218.12772219543","209.94546659105","227.6939957408","211.360239527"
"GWP_100_AR5_GHG","ITC2","Valle d’Aosta/Vallée d’Aoste","Industry","48.166882875231","46.361147228146","45.890995302969","46.234066645855","48.340783172587","49.834120193444","50.288752185385","51.512684273272","51.636645744218","53.33815810942","55.323424398978","55.274413884298","57.290421475975","58.184101840395","54.310714117477","54.592419346253","54.220536686404","53.696196882927","53.184428238908","49.258323798786","49.541208129151","49.571121150396","49.659604762722","49.437870769733","50.495472174775","51.355647105276","52.361267845168","53.608000540641","52.48050098234","49.018930794926","47.795361298186","48.908668210431","47.719379442989"
"GWP_100_AR5_GHG","ITC2","Valle d’Aosta/Vallée d’Aoste","Transport","631.63226643754","641.52535198474","674.17246561937","685.64433072831","682.15419005519","695.44312972341","696.83115316556","705.8836241715","729.15110911542","733.83644515167","732.42277662947","745.99948364404","760.49624886813","763.21654956376","778.48769972377","770.98942782343","778.898219752","782.51958298273","735.73587726871","700.80518477237","683.52290102867","685.16192250039","643.76733126351","630.56213096534","660.85241219131","644.76797212077","636.02375858803","609.21757611817","629.39794805688","634.31194559156","513.17409872957","571.01157184692","597.74996459844"
