"year","region","emissions_ktco2eq"
"2012","Toscana","4775.5399694581"
"2012","Trentino-Alto Adige","523.4653168068199"
"2012","Umbria","1802.6701257351"
"2012","Veneto","12194.386227412"
"2013","Abruzzo","1880.1165799389"
"2013","Basilicata","455.86437692146"
"2013","Calabria","5397.9260959393"
"2013","Campania","2343.2927619938"
"2013","Emilia-Romagna","6714.1497439126"
"2013","Friuli-Venezia Giulia","2672.7816959104"
"2013","Lazio","15444.547412924"
"2013","Liguria","9361.3280900538"
"2013","Lombardia","14595.667326109"
"2013","Marche","362.47264089111"
"2013","Molise","1348.8400382137"
"2013","Piemonte","6803.4233234635"
"2013","Puglia","16604.359422908"
"2013","Sardegna","5911.3599429912"
"2013","Sicilia","5359.6328922007"
"2013","Toscana","4040.8189633378"
"2013","Trentino-Alto Adige","453.74849214587005"
"2013","Umbria","1564.3185651326"
"2013","Veneto","10801.65811829"
"2014","Abruzzo","1701.2719516747"
"2014","Basilicata","432.47155953318"
"2014","Calabria","4926.4530846661"
"2014","Campania","2121.010405929"
"2014","Emilia-Romagna","6084.2949037639"
"2014","Friuli-Venezia Giulia","2494.6063957439"
"2014","Lazio","14373.189622507"
"2014","Liguria","8864.8862395819"
"2014","Lombardia","13311.511679861"
"2014","Marche","336.47199945746"
"2014","Molise","1213.8411367024"
"2014","Piemonte","6212.0279029567"
"2014","Puglia","15713.593956723"
"2014","Sardegna","5663.1480919743"
"2014","Sicilia","4911.2343009952"
"2014","Toscana","3794.6939310506"
"2014","Trentino-Alto Adige","428.96886782577997"
"2014","Umbria","1461.2897179384"
"2014","Veneto","10253.891376752"
"2015","Abruzzo","1777.2252765768"
"2015","Basilicata","557.33237418189"
"2015","Calabria","5136.9453653255"
"2015","Campania","2218.9880473246"
"2015","Emilia-Romagna","6402.5632314518"
"2015","Friuli-Venezia Giulia","2602.0191229513"
"2015","Lazio","14724.733105891"
"2015","Liguria","8515.1726881454"
"2015","Lombardia","14131.669017458"
"2015","Marche","396.30970126524"
"2015","Molise","1232.6660401554"
"2015","Piemonte","6784.1534460474"
"2015","Puglia","16091.672388428"
"2015","Sardegna","5993.9370172738"
"2015","Sicilia","5293.8942139288"
"2015","Toscana","4433.9463988183"
"2015","Trentino-Alto Adige","545.27977039939"
"2015","Umbria","1587.2104231536"
"2015","Veneto","11389.499818034"
"2016","Abruzzo","2010.160609652"
"2016","Basilicata","568.61063844553"
"2016","Calabria","5592.6724169682"
"2016","Campania","2507.9014122327"
"2016","Emilia-Romagna","7214.4364301431"
"2016","Friuli-Venezia Giulia","2525.8247606971"
"2016","Lazio","14352.105593855"
"2016","Liguria","7567.109775052"
"2016","Lombardia","15538.306798007"
"2016","Marche","422.02656332407"
"2016","Molise","1414.9244618947"
"2016","Piemonte","7500.8207537029"
"2016","Puglia","14294.439190662"
"2016","Sardegna","5105.6766727125"
"2016","Sicilia","5712.2458970884"
"2016","Toscana","4473.4135574052"
"2016","Trentino-Alto Adige","559.89022272815"
"2016","Umbria","1572.4314847937"
"2016","Veneto","10135.181486427"
"2017","Abruzzo","2144.2905962974"
"2017","Basilicata","562.55558365398"
"2017","Calabria","5914.9937782471"
"2017","Campania","2673.8743803715"
"2017","Emilia-Romagna","7676.3888258745"
"2017","Friuli-Venezia Giulia","2617.2628720239"
"2017","Lazio","14966.638305363"
"2017","Liguria","4463.1187805625"
"2017","Lombardia","16404.000268533"
"2017","Marche","431.50674826329"
"2017","Molise","1524.0782572053"
"2017","Piemonte","7878.4477639447"
"2017","Puglia","14614.318563585"
"2017","Sardegna","5102.8880994221"
"2017","Sicilia","6002.6610259082"
"2017","Toscana","4524.0256145352"
"2017","Trentino-Alto Adige","556.75184446992"
"2017","Umbria","1616.904241526"
"2017","Veneto","10176.201238328"
"2018","Abruzzo","2002.9272553074"
"2018","Basilicata","611.30299033248"
"2018","Calabria","5381.7385122544"
"2018","Campania","2500.2693642528"
"2018","Emilia-Romagna","7208.2420981062"
"2018","Friuli-Venezia Giulia","2418.7902670768"
"2018","Lazio","13610.191615586"
"2018","Liguria","3556.65718406"
"2018","Lombardia","15315.712823127"
"2018","Marche","439.50305907417"
"2018","Molise","1394.8427571667"
